HGT_prl,time,lat,lon,TMP_prl,TMP_2m,APCP_sfc
5806.79,706773600.0,,,289.48535,294.1521,0.015625
5808.79,706795200.0,,,288.50098,293.6521,0.0
5812.29,706816800.0,,,287.93848,291.93335,0.0
5814.29,706838400.0,,,287.87598,287.12085,0.0
5821.79,706860000.0,,,286.50098,291.93335,0.109375
5821.79,706881600.0,,,285.8916,290.05835,2.4539398e-13
5820.79,706903200.0,,,285.54785,297.05835,0.0
5819.79,706924800.0,,,286.25098,296.99585,0.0
5822.29,706946400.0,,,286.59473,296.87085,0.0
5822.79,706968000.0,,,286.87598,296.7146,0.0
5823.79,706989600.0,,,287.11035,296.6521,0.0
5823.79,707011200.0,,,287.98535,296.62085,0.0
5824.29,707032800.0,,,289.0166,296.9021,0.0
5824.79,707054400.0,,,289.75098,297.05835,0.0
5826.79,707076000.0,,,289.67285,290.18335,0.0
5826.79,707097600.0,,,288.12598,289.05835,0.0
5826.29,707119200.0,,,287.03223,291.12085,0.0
5828.29,707140800.0,,,287.59473,289.4646,0.0
5827.29,707162400.0,,,288.50098,287.49585,0.0
5798.29,707184000.0,,,282.84473,296.7146,0.0
5796.29,707205600.0,,,282.79785,297.24585,0.0
5793.79,707227200.0,,,283.11035,297.30835,0.0
5793.29,707248800.0,,,286.86035,297.5271,0.0
5793.79,707270400.0,,,285.54785,298.37085,0.0
5794.79,707292000.0,,,286.34473,298.62085,0.0
5792.79,707313600.0,,,286.46973,298.24585,0.0
5791.29,707335200.0,,,287.11035,297.7146,0.0
5790.29,707356800.0,,,287.90723,283.43335,0.0
5790.29,707378400.0,,,288.25098,286.9021,0.0625
5793.29,707400000.0,,,288.11035,290.7771,3.217912e-15
5791.79,707421600.0,,,288.61035,291.1521,0.828125
5793.79,707443200.0,,,288.37598,292.7146,0.765625
5796.79,707464800.0,,,288.3291,292.43335,0.046875
5798.79,707486400.0,,,287.11035,293.18335,0.0
5800.29,707508000.0,,,287.48535,290.93335,0.0
5802.29,707529600.0,,,286.78223,290.30835,0.0
5803.79,707551200.0,,,286.65723,290.74585,0.0
5808.79,707572800.0,,,286.2041,289.0896,0.0078125
5807.79,707594400.0,,,285.37598,287.1521,0.0
