time,latitude,longitude,UGRD_10m
1075701600.0,,,-1.0975254
1075723200.0,,,-0.1912729
1075744800.0,,,0.04309479
1075766400.0,,,-3.363157
1075788000.0,,,-3.1756504
1075809600.0,,,-2.863164
1075831200.0,,,-0.91003466
1075852800.0,,,0.26184836
1075874400.0,,,-2.9412818
1075896000.0,,,-2.6600263
1075917600.0,,,-2.4881635
1075939200.0,,,-8.191278
1075960800.0,,,-8.753778
1075982400.0,,,-8.628778
1076004000.0,,,-9.050653
1076025600.0,,,-8.878778
1076047200.0,,,-8.894402
1076068800.0,,,-8.3787775
1076090400.0,,,-7.6756544
1076112000.0,,,-7.6756535
1076133600.0,,,-7.269404
1076155200.0,,,-6.644403
1076176800.0,,,-6.0350285
1076198400.0,,,-5.8787785
1076220000.0,,,-5.0037785
1076241600.0,,,-4.175653
1076263200.0,,,-3.1287687
1076284800.0,,,-4.8162804
1076306400.0,,,-4.6287766
1076328000.0,,,-3.8631537
1076349600.0,,,-2.6287756
1076371200.0,,,-1.2381501
1076392800.0,,,0.62122154
1076414400.0,,,0.63684505
1076436000.0,,,-0.33190778
1076457600.0,,,-2.8787906
1076479200.0,,,-3.6756585
1076500800.0,,,1.0118443
1076522400.0,,,0.62121785
1076544000.0,,,-0.56627697
1076565600.0,,,-0.7537803
1076587200.0,,,-3.0819092
1076608800.0,,,-8.191279
1076630400.0,,,-8.253779
1076652000.0,,,-8.675654
1076673600.0,,,-8.925654
1076695200.0,,,-8.878778
1076716800.0,,,-8.597529
1076738400.0,,,-8.5506525
1076760000.0,,,-7.691276
1076781600.0,,,-7.535027
1076803200.0,,,-7.503778
1076824800.0,,,-6.8319035
1076846400.0,,,-6.2381525
1076868000.0,,,-5.097528
1076889600.0,,,-4.753777
1076911200.0,,,-4.988154
1076932800.0,,,-3.7225306
1076954400.0,,,-0.8787814
1076976000.0,,,-5.4100275
1076997600.0,,,-4.503778
1077019200.0,,,-4.081902
1077040800.0,,,-2.2850282
1077062400.0,,,0.3712241
1077084000.0,,,1.3868468
1077105600.0,,,-0.95690626
1077127200.0,,,-2.5662777
1077148800.0,,,-3.5975266
1077170400.0,,,-6.0193954
1077192000.0,,,-11.80065
1077213600.0,,,-2.0662882
1077235200.0,,,0.8243609
1077256800.0,,,0.7774716
1077278400.0,,,-6.2381563
1077300000.0,,,-8.003779
1077321600.0,,,-8.8944025
1077343200.0,,,-8.847528
1077364800.0,,,-8.878779
1077386400.0,,,-8.566279
1077408000.0,,,-8.160027
1077429600.0,,,-7.878778
1077451200.0,,,-7.3006535
1077472800.0,,,-7.378778
1077494400.0,,,-6.878778
1077516000.0,,,-5.878777
1077537600.0,,,-5.628778
1077559200.0,,,-4.816278
1077580800.0,,,-4.878778
1077602400.0,,,-3.7850256
1077624000.0,,,-2.8319008
1077645600.0,,,-2.535024
1077667200.0,,,-4.878777
1077688800.0,,,-4.2694025
1077710400.0,,,-3.8631523
1077732000.0,,,-2.644401
1077753600.0,,,-0.1444016
1077775200.0,,,0.13683456
1077796800.0,,,-1.6600299
1077818400.0,,,-1.8006537
1077840000.0,,,-0.9100221
1077861600.0,,,0.4805963
1077883200.0,,,-0.066284515
1077904800.0,,,0.51184094
1077926400.0,,,0.5274698
1077948000.0,,,0.027474202
1077969600.0,,,-6.050654
1077991200.0,,,-7.050653
1078012800.0,,,-8.2537775
1078034400.0,,,-8.378779
1078056000.0,,,-8.535028
1078077600.0,,,-8.581903
1078099200.0,,,-7.6912785
1078120800.0,,,-7.488153
1078142400.0,,,-6.660028
1078164000.0,,,-6.2694025
1078185600.0,,,-5.8475266
1078207200.0,,,-5.1131544
1078228800.0,,,-4.894401
1078250400.0,,,-4.113153
1078272000.0,,,-3.441277
1078293600.0,,,-1.4100264
1078315200.0,,,-0.26940256
1078336800.0,,,-1.2069044
1078358400.0,,,-4.5819016
1078380000.0,,,-3.988153
1078401600.0,,,-2.8319018
1078423200.0,,,-1.769402
1078444800.0,,,-1.2381505
1078466400.0,,,-3.2850246
1078488000.0,,,-1.6287764
1078509600.0,,,-0.8162763
1078531200.0,,,1.4962201
1078552800.0,,,-2.8475287
1078574400.0,,,-3.1912844
1078596000.0,,,-3.488149
1078617600.0,,,-2.2693994
1078639200.0,,,-0.019401632
1078660800.0,,,-3.5819125
1078682400.0,,,-6.456903
1078704000.0,,,-7.5037785
1078725600.0,,,-7.9412785
1078747200.0,,,-7.1756535
1078768800.0,,,-7.1131516
1078790400.0,,,-6.722528
1078812000.0,,,-6.8787775
1078833600.0,,,-5.8787775
1078855200.0,,,-4.9881525
1078876800.0,,,-4.628777
1078898400.0,,,-3.5506527
1078920000.0,,,-3.2225263
1078941600.0,,,-2.878776
1078963200.0,,,-1.4881507
1078984800.0,,,-0.1287769
1079006400.0,,,0.3868467
1079028000.0,,,-1.1756573
1079049600.0,,,-4.003778
1079071200.0,,,-3.1756523
1079092800.0,,,-2.019402
1079114400.0,,,-0.8944097
1079136000.0,,,-1.8631535
1079157600.0,,,-1.5975293
1079179200.0,,,-1.8162796
1079200800.0,,,-1.7537793
1079222400.0,,,-6.6131563
1079244000.0,,,-1.7850322
1079265600.0,,,-2.738157
1079287200.0,,,-3.7225258
1079308800.0,,,-2.4412737
1079330400.0,,,0.6055978
1079352000.0,,,-3.0194058
1079373600.0,,,-6.8006544
1079395200.0,,,-6.9100285
1079416800.0,,,-7.1444025
1079438400.0,,,-6.7537775
1079460000.0,,,-6.160028
1079481600.0,,,-5.5819035
1079503200.0,,,-5.597528
1079524800.0,,,-4.394403
1079546400.0,,,-3.8787773
1079568000.0,,,-3.0037773
1079589600.0,,,-1.8475288
1079611200.0,,,-1.4881519
1079632800.0,,,-0.20690049
1079654400.0,,,0.83997315
1079676000.0,,,0.9962215
1079697600.0,,,-0.34752825
1079719200.0,,,-0.8631533
1079740800.0,,,-2.660027
1079762400.0,,,-2.3787775
1079784000.0,,,-1.1443988
1079805600.0,,,0.40246966
1079827200.0,,,-1.5037793
1079848800.0,,,-1.8631551
1079870400.0,,,-2.8162792
1079892000.0,,,-3.191281
1079913600.0,,,-7.3006477
1079935200.0,,,-2.8944032
1079956800.0,,,-2.4256551
1079978400.0,,,-1.2537769
1080000000.0,,,-0.8944028
1080021600.0,,,-0.1444032
1080043200.0,,,-4.2694063
1080064800.0,,,-6.238154
1080086400.0,,,-7.081903
1080108000.0,,,-6.753778
1080129600.0,,,-6.456903
1080151200.0,,,-6.0662775
1080172800.0,,,-5.722528
1080194400.0,,,-5.019403
1080216000.0,,,-3.9881527
1080237600.0,,,-3.300654
1080259200.0,,,-1.8475289
1080280800.0,,,-0.9569032
1080302400.0,,,0.29309723
1080324000.0,,,1.5430965
1080345600.0,,,2.9493465
1080367200.0,,,2.6837213
1080388800.0,,,0.7930972
1080410400.0,,,0.24622422
1080432000.0,,,-1.8006545
1080453600.0,,,-1.3944029
1080475200.0,,,0.1681011
1080496800.0,,,1.6993449
1080518400.0,,,-0.67565405
1080540000.0,,,-1.894404
1080561600.0,,,-2.7225277
1080583200.0,,,-3.4412768
1080604800.0,,,-2.2068954
1080626400.0,,,-2.894403
1080648000.0,,,-2.8319027
1080669600.0,,,-1.113151
1080691200.0,,,-1.2537767
1080712800.0,,,0.35559773
1080734400.0,,,-0.3631552
1080756000.0,,,-7.0662785
1080777600.0,,,-6.878779
1080799200.0,,,-6.8787785
1080820800.0,,,-6.5194035
1080842400.0,,,-5.925653
1080864000.0,,,-5.253778
1080885600.0,,,-4.6287785
1080907200.0,,,-3.8162773
1080928800.0,,,-3.1131527
1080950400.0,,,-1.6287781
1080972000.0,,,-0.8944021
1080993600.0,,,0.37122315
1081015200.0,,,1.8868471
1081036800.0,,,1.8712169
1081058400.0,,,2.9805968
1081080000.0,,,1.6055961
1081101600.0,,,-0.8006545
1081123200.0,,,-1.9725266
1081144800.0,,,-1.0037793
1081166400.0,,,-0.8006557
1081188000.0,,,2.1368456
1081209600.0,,,0.23059483
1081231200.0,,,-0.20690584
1081252800.0,,,-2.2381527
1081274400.0,,,-1.6131531
1081296000.0,,,-0.8787827
1081317600.0,,,-3.1912796
1081339200.0,,,-2.050651
1081360800.0,,,-0.94127744
1081382400.0,,,-2.6131525
1081404000.0,,,0.93372047
1081425600.0,,,0.88684756
1081447200.0,,,-2.2381542
1081468800.0,,,-4.0037875
1081490400.0,,,-5.910027
1081512000.0,,,-6.113152
1081533600.0,,,-5.7537785
1081555200.0,,,-5.222528
1081576800.0,,,-4.285027
1081598400.0,,,-3.4100275
1081620000.0,,,-2.3631527
1081641600.0,,,-1.0662774
1081663200.0,,,0.23059753
1081684800.0,,,1.2462205
1081706400.0,,,1.7305962
1081728000.0,,,2.1993444
1081749600.0,,,1.933722
1081771200.0,,,-0.87877804
1081792800.0,,,0.33997115
1081814400.0,,,-2.9100294
1081836000.0,,,-2.6756506
1081857600.0,,,-0.8162767
1081879200.0,,,0.71497494
1081900800.0,,,1.8243452
1081922400.0,,,1.0899682
1081944000.0,,,-1.0037793
1081965600.0,,,-1.285031
1081987200.0,,,-1.5819024
1082008800.0,,,-1.3944023
1082030400.0,,,-2.0819027
1082052000.0,,,-2.2850227
1082073600.0,,,-0.003780586
1082095200.0,,,1.183723
1082116800.0,,,1.152472
1082138400.0,,,0.76184905
1082160000.0,,,-0.44128132
1082181600.0,,,-0.050654452
1082203200.0,,,-4.2537766
1082224800.0,,,-4.9569016
1082246400.0,,,-4.2225285
1082268000.0,,,-3.5975277
1082289600.0,,,-2.7225277
1082311200.0,,,-1.8944025
1082332800.0,,,-0.95690346
1082354400.0,,,-0.12877852
1082376000.0,,,-0.12877981
1082397600.0,,,0.94934285
1082419200.0,,,0.07434929
1082440800.0,,,0.46497083
1082462400.0,,,0.10559807
1082484000.0,,,1.2618473
1082505600.0,,,-2.8787773
1082527200.0,,,-1.9881527
1082548800.0,,,-0.5194032
1082570400.0,,,0.90247273
1082592000.0,,,2.8555965
1082613600.0,,,0.85559434
1082635200.0,,,-1.0194023
1082656800.0,,,-1.1912768
1082678400.0,,,-1.6912746
